"ID","Gender","Bmonth","Byear","Grade","School1","School2","School3","Confidence","Heard_sustain","Heard_earthweek","Heard_greenthumb","Heard_bike","Heard_conference","Heard_recycle","Heard_buddies","Part_sustain","Part_earthweek","Part_greenthumb","Part_bike","Part_conference","Part_recycle","Part_buddies","Effective","More_activities","Attendance","Collaborate","Member","Office_space","Increase_rate","Work_sustain","Leadership","Manage_funds","Investigate","Solutions","Brainstorm","Comments","SAM"
254848,"Other",9,1996,1,"SAL",NA,NA,"Not Confident at All",1,"Earth Week","Green Thumb",NA,NA,NA,"ENV Buddies",0,0,0,0,0,0,0,NA,"not sure what we need",4,3,2,"Online Office","$1-$10","no",NA,NA,NA,NA,NA,"I have no comments",0
254850,"Female",11,1993,2,"SAL",NA,NA,"Neutral",1,NA,NA,"Bike Co-op",NA,NA,NA,0,0,0,0,0,0,0,NA,NA,3,3,3,"Online Office","$11-$20","no",NA,NA,NA,NA,NA,NA,0
254851,"Male",8,1996,3,"HSE",NA,NA,"Confident",1,"Earth Week","Green Thumb","Bike Co-op","ENVS Conference",NA,NA,0,1,0,0,0,0,0,"Neutral","activities that link sustainability and public health",4,4,1,"Physical Office","anything above $30","no",NA,NA,NA,NA,NA,NA,0
254852,"Female",3,1993,1,"SAM",NA,NA,"Neutral",0,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,NA,NA,3,3,3,"Physical Office","$1-$10","no",NA,NA,NA,NA,NA,NA,1
254855,"Male",1,1995,2,"HSE",NA,NA,"Neutral",0,"Earth Week","Green Thumb",NA,NA,NA,NA,0,0,0,0,0,0,0,NA,NA,3,3,3,"No preference","$1-$10","no",NA,NA,NA,NA,NA,NA,0
254856,"Male",4,1988,1,"SAM",NA,NA,"Confident",0,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,NA,NA,4,4,4,"Physical Office","$21-$30","yes",4,4,4,4,3,NA,1
254869,"Male",3,1988,1,"HSE",NA,NA,"Confident",1,NA,"Green Thumb","Bike Co-op",NA,NA,NA,0,0,0,0,0,0,0,NA,NA,2,3,3,"Physical Office","$1-$10","no",NA,NA,NA,NA,NA,NA,0
254872,"Female",1,1993,2,"HSE",NA,NA,"Confident",1,"Earth Week","Green Thumb","Bike Co-op","ENVS Conference","Recyclemania",NA,0,0,0,0,0,0,0,NA,NA,1,3,1,"No preference","Not willing at all","no",NA,NA,NA,NA,NA,NA,0
254876,"Female",10,1996,1,"HSE","SAM",NA,"Confident",1,NA,"Green Thumb",NA,NA,NA,NA,0,0,0,0,0,0,0,NA,NA,2,4,4,"Physical Office","$1-$10","yes",4,1,4,4,4,NA,1
254879,"Male",7,1996,1,"SAM","SAL",NA,"Confident",0,NA,"Green Thumb","Bike Co-op",NA,NA,NA,0,0,0,0,0,0,0,NA,NA,4,4,4,"Physical Office","anything above $30","yes",3,2,5,4,2,NA,1
254881,"Female",7,1992,1,"SAL",NA,NA,"Neutral",0,NA,"Green Thumb","Bike Co-op",NA,NA,"ENV Buddies",0,0,0,0,0,0,0,NA,NA,3,4,3,"No preference","Not willing at all","no",NA,NA,NA,NA,NA,NA,0
254884,"Female",1,1996,1,"SCS",NA,NA,"Confident",0,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,NA,NA,3,3,2,"Online Office","$11-$20","no",NA,NA,NA,NA,NA,NA,0
254887,"Female",11,1984,4,"BUS",NA,NA,"Slightly Confident",1,"Earth Week",NA,"Bike Co-op",NA,NA,NA,0,0,0,0,0,0,0,NA,"Growing trees",1,1,1,"Physical Office","Not willing at all","no",NA,NA,NA,NA,NA,NA,0
254892,"Female",9,1995,1,"SAM",NA,NA,"Neutral",1,"Earth Week",NA,NA,NA,NA,NA,0,0,0,0,0,0,0,NA,NA,2,2,1,"No preference","Not willing at all","no",NA,NA,NA,NA,NA,NA,1
254893,"Male",7,1993,4,"SCS",NA,NA,"Confident",1,"Earth Week","Green Thumb","Bike Co-op","ENVS Conference",NA,NA,1,1,0,0,1,0,0,"Completely Effective","More recycling awareness.",4,5,3,"Physical Office","$21-$30","no",NA,NA,NA,NA,NA,NA,0
254900,"Female",5,1994,1,"SAM",NA,NA,"Confident",1,"Earth Week","Green Thumb","Bike Co-op",NA,NA,NA,0,0,0,0,0,0,0,NA,NA,3,4,3,"Online Office","$11-$20","no",NA,NA,NA,NA,NA,NA,1
254905,"Male",7,1998,3,"SAM",NA,NA,"Extremely Confident",1,"Earth Week",NA,"Bike Co-op","ENVS Conference","Recyclemania",NA,0,0,0,0,0,0,0,"Neutral",NA,1,1,1,"Online Office","Not willing at all","no",NA,NA,NA,NA,NA,NA,1
254910,"Female",12,1995,2,"SCS",NA,NA,"Slightly Confident",0,NA,NA,"Bike Co-op",NA,NA,NA,0,0,0,0,0,0,0,NA,NA,1,1,1,"No preference","$1-$10","no",NA,NA,NA,NA,NA,NA,0
254914,"Female",6,1995,2,"HSE",NA,NA,"Extremely Confident",1,"Earth Week","Green Thumb","Bike Co-op",NA,NA,NA,1,0,0,0,0,0,0,"Completely Effective",NA,4,3,5,"Physical Office","$21-$30","yes",5,3,4,5,5,NA,0
254915,"Female",2,1997,3,"SCS",NA,NA,"Confident",1,"Earth Week",NA,"Bike Co-op","ENVS Conference",NA,NA,0,0,0,0,0,0,0,NA,NA,4,4,4,"No preference","$1-$10","no",NA,NA,NA,NA,NA,NA,0
254924,"Female",6,1995,3,"SAM",NA,NA,"Confident",1,NA,NA,"Bike Co-op","ENVS Conference",NA,NA,0,0,0,0,1,0,0,"Neutral",NA,4,5,2,"No preference","$1-$10","no",NA,NA,NA,NA,NA,NA,1
254926,"Female",12,1997,1,"SAM",NA,NA,"Neutral",0,NA,"Green Thumb",NA,NA,NA,NA,0,0,0,0,0,0,0,NA,NA,2,4,3,"No preference","$11-$20","yes",1,1,3,3,4,NA,1
254929,"Female",4,1996,2,"SAM",NA,NA,"Neutral",1,"Earth Week","Green Thumb",NA,NA,"Recyclemania",NA,0,0,0,0,0,0,0,NA,NA,2,4,2,"Online Office","$1-$10","no",NA,NA,NA,NA,NA,NA,1
254935,"Female",11,1995,1,"SAM",NA,NA,"Confident",1,"Earth Week","Green Thumb","Bike Co-op","ENVS Conference",NA,NA,0,0,0,0,0,0,0,NA,NA,3,4,4,"Physical Office","$21-$30","yes",4,2,4,4,4,NA,1
254937,"Female",1,1997,1,"SAM",NA,NA,"Slightly Confident",0,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,NA,NA,2,2,2,"Physical Office","$1-$10","no",NA,NA,NA,NA,NA,NA,1
254940,"Female",4,1994,1,"HSE",NA,NA,"Neutral",0,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,NA,NA,2,2,1,"No preference","$1-$10","no",NA,NA,NA,NA,NA,NA,0
254941,"Female",10,1992,1,"HSE",NA,NA,"Not Confident at All",0,NA,NA,"Bike Co-op",NA,NA,NA,0,0,0,0,0,0,0,NA,NA,3,3,4,"Physical Office","$21-$30","no",NA,NA,NA,NA,NA,NA,0
254942,"Male",4,1995,1,"HSE",NA,NA,"Slightly Confident",0,NA,"Green Thumb",NA,NA,NA,NA,0,0,0,0,0,0,0,NA,"social",5,5,1,"Physical Office","$1-$10","no",NA,NA,NA,NA,NA,NA,0
